APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DIVISION_ID	DV_ABBR	LABEL_NAME	DV_TYPE	DV_URL
1	1	600000	401010	AAS	Association for Academic Surgery	Clinical Science	http://www.aasurg.org/
0	0	600000	1	Baylor	Baylor College of Medicine	Clinical Science	
0	0	600000	2	Northwestern	Northwestern University	Clinical Science	
0	0	600000	3	UT Houston	The University of Texas Medical School at Houston	Clinical Science	
0	0	600000	4	Johns Hopkins	Johns Hopkins	Clinical Science	
0	0	600000	5	Yale	Yale University	Clinical Science	
0	0	600000	7	Penn State	Penn State Hershey	Clinical Science	
0	0	600000	8	University of Wisconsin	University of Wisconsin	Clinical Science	
