last_name	first_name	middle_name	degrees	rank	program	pubmed_search_name	username
LeMaire	Scott	A	MD	Professor	Baylor		scottlemaire
Kibbe	Melina	R	MD	Associate Professor	Northwestern		melinakibbe
Kao	Lillian	S	"MD, MS, FACS"	Associate Professor	UT Houston		lilliankao
Pawlik	Timothy	M	"MD, MPH"	Associate Professor	Johns Hopkins		timothypawlik
Sosa	Julie	Ann	MD	Associate Professor	Yale		julieannsosa
Albo	Daniel		"MD, PhD"	Associate Professor	Baylor		danielalbo
Staveley-O'Carroll	Kevin	F	"MD, PhD"	Associate Professor	Penn State		kevinstaveleyocarroll
Chen	Herbert		MD	Professor	University of Wisconsin		herbertchen
Pugh	Carla	M	"MD, PhD"	Associate Professor	Northwestern		carlapugh
