investigator_id	abstract_id	is_valid	last_reviewed_at	last_reviewed_id	last_reviewed_ip
6	164	FALSE	4/4/11	89	set during migration
6	166	FALSE	4/4/11	89	set during migration
6	169	FALSE	4/4/11	89	set during migration
9	282	FALSE	4/14/11	3779	165.124.46.33
10	214	TRUE	4/18/11	10	165.20.104.30
10	351	TRUE	4/18/11	10	165.20.104.30
10	352	TRUE	4/18/11	10	165.20.104.30
10	353	TRUE	4/18/11	10	165.20.104.30
10	354	TRUE	4/18/11	10	165.20.104.30
10	355	TRUE	4/18/11	10	165.20.104.30
10	356	TRUE	4/18/11	10	165.20.104.30
10	357	TRUE	4/18/11	10	165.20.104.30
10	358	TRUE	4/18/11	10	165.20.104.30
10	359	TRUE	4/18/11	10	165.20.104.30
10	360	TRUE	4/18/11	10	165.20.104.30
10	361	TRUE	4/18/11	10	165.20.104.30
10	362	TRUE	4/18/11	10	165.20.104.30
10	363	TRUE	4/18/11	10	165.20.104.30
10	364	TRUE	4/18/11	10	165.20.104.30
10	365	TRUE	4/18/11	10	165.20.104.30
10	366	TRUE	4/18/11	10	165.20.104.30
10	367	TRUE	4/18/11	10	165.20.104.30
10	368	TRUE	4/18/11	10	165.20.104.30
10	369	TRUE	4/18/11	10	165.20.104.30
10	370	TRUE	4/18/11	10	165.20.104.30
10	371	TRUE	4/18/11	10	165.20.104.30
10	372	TRUE	4/18/11	10	165.20.104.30
10	373	TRUE	4/18/11	10	165.20.104.30
10	374	TRUE	4/18/11	10	165.20.104.30
10	375	TRUE	4/18/11	10	165.20.104.30
10	376	TRUE	4/18/11	10	165.20.104.30
10	377	TRUE	4/18/11	10	165.20.104.30
10	378	TRUE	4/18/11	10	165.20.104.30
10	379	TRUE	4/18/11	10	165.20.104.30
10	380	TRUE	4/18/11	10	165.20.104.30
10	381	TRUE	4/18/11	10	165.20.104.30
10	382	TRUE	4/18/11	10	165.20.104.30
10	383	TRUE	4/18/11	10	165.20.104.30
10	384	TRUE	4/18/11	10	165.20.104.30
10	385	TRUE	4/18/11	10	165.20.104.30
10	386	TRUE	4/18/11	10	165.20.104.30
10	387	TRUE	4/18/11	10	165.20.104.30
10	388	TRUE	4/18/11	10	165.20.104.30
10	389	TRUE	4/18/11	10	165.20.104.30
10	390	TRUE	4/18/11	10	165.20.104.30
10	391	TRUE	4/18/11	10	165.20.104.30
10	392	TRUE	4/18/11	10	165.20.104.30
10	393	TRUE	4/18/11	10	165.20.104.30
10	394	TRUE	4/18/11	10	165.20.104.30
10	395	TRUE	4/18/11	10	165.20.104.30
10	396	TRUE	4/18/11	10	165.20.104.30
10	397	TRUE	4/18/11	10	165.20.104.30
10	398	TRUE	4/18/11	10	165.20.104.30
10	399	TRUE	4/18/11	10	165.20.104.30
10	400	TRUE	4/18/11	10	165.20.104.30
10	401	TRUE	4/18/11	10	165.20.104.30
10	402	TRUE	4/18/11	10	165.20.104.30
10	403	TRUE	4/18/11	10	165.20.104.30
10	404	TRUE	4/18/11	10	165.20.104.30
10	405	TRUE	4/18/11	10	165.20.104.30
10	406	TRUE	4/18/11	10	165.20.104.30
10	407	TRUE	4/18/11	10	165.20.104.30
10	408	TRUE	4/18/11	10	165.20.104.30
10	409	TRUE	4/18/11	10	165.20.104.30
10	410	TRUE	4/18/11	10	165.20.104.30
10	411	TRUE	4/18/11	10	165.20.104.30
10	412	TRUE	4/18/11	10	165.20.104.30
10	413	TRUE	4/18/11	10	165.20.104.30
10	414	TRUE	4/18/11	10	165.20.104.30
10	415	TRUE	4/18/11	10	165.20.104.30
10	416	TRUE	4/18/11	10	165.20.104.30
10	417	TRUE	4/18/11	10	165.20.104.30
10	418	TRUE	4/18/11	10	165.20.104.30
10	419	TRUE	4/18/11	10	165.20.104.30
10	420	TRUE	4/18/11	10	165.20.104.30
10	421	TRUE	4/18/11	10	165.20.104.30
10	422	TRUE	4/18/11	10	165.20.104.30
10	423	TRUE	4/18/11	10	165.20.104.30
10	424	TRUE	4/18/11	10	165.20.104.30
10	425	TRUE	4/18/11	10	165.20.104.30
10	426	TRUE	4/18/11	10	165.20.104.30
10	427	TRUE	4/18/11	10	165.20.104.30
10	428	TRUE	4/18/11	10	165.20.104.30
10	429	TRUE	4/18/11	10	165.20.104.30
10	430	TRUE	4/18/11	10	165.20.104.30
10	431	TRUE	4/18/11	10	165.20.104.30
10	432	TRUE	4/18/11	10	165.20.104.30
10	433	TRUE	4/18/11	10	165.20.104.30
10	434	TRUE	4/18/11	10	165.20.104.30
10	435	TRUE	4/18/11	10	165.20.104.30
10	436	TRUE	4/18/11	10	165.20.104.30
10	437	TRUE	4/18/11	10	165.20.104.30
10	4434	TRUE	4/18/11	10	165.20.104.30
10	5948	TRUE	4/18/11	10	165.20.104.30
10	7132	TRUE	4/18/11	10	165.20.104.30
10	9152	TRUE	4/18/11	10	165.20.104.30
10	9208	TRUE	4/18/11	10	165.20.104.30
10	9260	TRUE	4/18/11	10	165.20.104.30
10	9276	TRUE	4/18/11	10	165.20.104.30
10	9348	TRUE	4/18/11	10	165.20.104.30
10	9349	TRUE	4/18/11	10	165.20.104.30
10	9495	TRUE	4/18/11	10	165.20.104.30
10	9508	TRUE	4/18/11	10	165.20.104.30
10	9534	TRUE	4/18/11	10	165.20.104.30
10	9551	TRUE	4/18/11	10	165.20.104.30
10	9599	TRUE	4/18/11	10	165.20.104.30
10	12329	TRUE	4/18/11	10	165.20.104.30
10	21571	TRUE	4/18/11	10	165.20.104.30
