EMPLOYEE_ID	PMID
1000176	1468770
1000176	1665408
1000176	2176127
1000176	2452054
1000176	7525999
1000176	7539507
1000176	7587718
1000176	7966727
1000176	8116573
1000176	8177369
1000176	8393803
1000176	8493534
1000176	8546906
1000176	8555587
1000176	8558209
1000176	8604688
1000176	8612674
1000176	8625236
1000176	8991540
1000176	9090787
1000176	9222101
1000176	9384455
1000176	9543056
1000176	9551602
1000176	9728609
1000176	9808541
1000176	9894463
1000176	10102615
1000176	10587708
1000176	10861692
1000176	11079033
1000176	11101177
1000176	11538247
1000176	12094480
1000176	12653584
1000176	12879454
1000176	12881174
1000176	14582135
1000176	14994220
1000176	15217213
1000176	15624202
1000176	16393677
1000176	16818636
1000176	16906575
1000176	16923568
1000176	17210531
1000176	17285625
1000176	18089499
1000176	18337231
1000176	18423023
1000176	18480010
1000176	18628084
1000176	19846810
1000176	20664355
1000176	20839334
1000176	21233314
1000176	21312111
1000176	21330471
1000176	21757603
1000176	23355208
1000184	1353247
1000184	1359975
1000184	1657194
1000184	1706716
1000184	1970822
1000184	2164221
1000184	2172770
1000184	2723190
1000184	2994039
1000184	3011796
1000184	7686987
1000184	7890667
1000184	7890702
1000184	7965790
1000184	8125015
1000184	8164514
1000184	8810295
1000184	9014242
1000184	9186720
1000184	9195925
1000184	10419523
1000184	10509969
1000184	10510064
1000184	10518533
1000184	11022047
1000184	11092675
1000184	11715024
1000184	11789783
1000184	11877431
1000184	12196513
1000184	12675841
1000184	12894868
1000184	14500986
1000184	14707006
1000184	15182194
1000184	16054586
1000184	16611583
1000184	16953585
1000184	16968030
1000184	17194200
1000184	17526861
1000184	18241340
1000184	18653557
1000184	19952475
1000184	20222010
1000184	21421805
1000184	22371446
1000184	22385159
1000184	22914647
1000200	19185242
1000200	21333884
1000332	1534337
1000332	2345088
1000332	2911669
1000332	7476079
1000332	7760701
1000332	7808267
1000332	7873354
1000332	7895363
1000332	8057824
1000332	8722829
1000332	9296193
1000332	9324333
1000332	9694488
1000332	9754591
1000332	9851954
1000332	9874478
1000332	10075897
1000332	10232520
1000332	10356062
1000332	10402449
1000332	10556226
1000332	10600415
1000332	10631677
1000332	10686117
