EMPLOYEE_ID	PMID
1080258	23112968
1080258	22890149
1080258	22730855
1080258	22568427
1080258	22498687
1080258	22410409
1080258	22385484
1080258	22334806
1080258	22139021
1080258	21836410
1080258	21278592
1080258	21249880
1080258	21249782
1080258	21074106
1080258	20682379
1080258	20145194
1080258	20142066
1080258	20010456
1080258	19882481
1080258	19009465
1080258	18808209
1080258	18755423
1080258	18700594
1080258	18536608
1080258	18302448
1080258	18261704
1080258	18092564
1080258	18005354
1080258	17931587
1080258	17931584
1080258	17931575
1080258	17893540
1080258	17420142
1080258	17317413
1080258	17289542
1080258	17269850
1080258	17158114
1080258	17096682
1080258	16750473
1080258	16707407
1080258	16392417
1080258	16329716
1080258	16245960
1080258	15284717
1080258	15386711
1038716	22539527
1038716	21300896
1038716	20072129
1038716	20125085
1038716	20472918
1038716	21048757
1038716	19239886
1038716	19523896
1038716	19684574
1038716	18425143
1038716	18691963
1038716	19095942
1038716	17676029
1038716	16428608
1038716	16527750
1038716	15654322
1038716	16009127
1038716	15990394
1038716	16177131
1038716	16179342
1038716	16286001
1038716	15066284
1038716	15066283
1038716	15247335
1038716	15260964
1038716	15272116
1038716	15353786
1038716	14567910
1038716	11135658
1038716	10688359
1038716	10637323
1038716	11041859
1038716	10208814
1038716	10398685
1038716	9285595
1038716	7531281
1038716	8262061
1038716	8266094
1038716	1310151
1038716	1409691
1038716	1340469
